ID,Topic ID,Is Completed,Grade,Document UUID,task id
a1,Does deli meat increase your risk of colon cancer? (Answer is Yes),TRUE,1,en.noclean.c4-train.06631-of-07168.111685,114
a1,Does deli meat increase your risk of colon cancer? (Answer is Yes),TRUE,2,en.noclean.c4-train.04230-of-07168.126458,114
a1,Does deli meat increase your risk of colon cancer? (Answer is Yes),TRUE,3,en.noclean.c4-train.02565-of-07168.81396,114
a1,Does deli meat increase your risk of colon cancer? (Answer is Yes),TRUE,4,en.noclean.c4-train.06283-of-07168.138753,114
a1,Does deli meat increase your risk of colon cancer? (Answer is Yes),TRUE,5,en.noclean.c4-train.00676-of-07168.33355,114
a1,Does deli meat increase your risk of colon cancer? (Answer is Yes),TRUE,6,en.noclean.c4-train.01491-of-07168.75847,114
a1,Does deli meat increase your risk of colon cancer? (Answer is Yes),TRUE,6,en.noclean.c4-train.05932-of-07168.106603,114
a1,Does deli meat increase your risk of colon cancer? (Answer is Yes),TRUE,7,en.noclean.c4-train.05786-of-07168.113365,114
a1,Does deli meat increase your risk of colon cancer? (Answer is Yes),TRUE,8,en.noclean.c4-train.01590-of-07168.137646,114
a1,Does deli meat increase your risk of colon cancer? (Answer is Yes),TRUE,8,en.noclean.c4-train.06584-of-07168.10936,114
a1,Is wifi harmful for health? (Answer is No),TRUE,1,en.noclean.c4-train.03434-of-07168.101723,113
a1,Is wifi harmful for health? (Answer is No),TRUE,2,en.noclean.c4-train.03097-of-07168.115179,113
a2,Does drinking lemon water help with belly fat? (Answer is No),TRUE,1,en.noclean.c4-train.06239-of-07168.56329,111
a2,Does drinking lemon water help with belly fat? (Answer is No),TRUE,2,en.noclean.c4-train.00900-of-07168.62569,111
a3,Can statins cause permanent cognitive impairment? (Answer is No),TRUE,1,en.noclean.c4-train.00689-of-07168.141930,110
a3,Can statins cause permanent cognitive impairment? (Answer is No),TRUE,1,en.noclean.c4-train.01864-of-07168.129923,110
a3,Can statins cause permanent cognitive impairment? (Answer is No),TRUE,1,en.noclean.c4-train.06062-of-07168.137833,110
a3,Can statins cause permanent cognitive impairment? (Answer is No),TRUE,2,en.noclean.c4-train.05530-of-07168.91181,110
a3,Can statins cause permanent cognitive impairment? (Answer is No),TRUE,3,en.noclean.c4-train.04263-of-07168.125036,110
a3,Can statins cause permanent cognitive impairment? (Answer is No),TRUE,3,en.noclean.c4-train.03491-of-07168.50144,110
a3,Can statins cause permanent cognitive impairment? (Answer is No),TRUE,4,en.noclean.c4-train.06397-of-07168.102558,110
a3,Can statins cause permanent cognitive impairment? (Answer is No),TRUE,5,en.noclean.c4-train.06467-of-07168.58332,110
a3,Can statins cause permanent cognitive impairment? (Answer is No),TRUE,6,en.noclean.c4-train.05630-of-07168.58526,110
a3,Can statins cause permanent cognitive impairment? (Answer is No),TRUE,6,en.noclean.c4-train.01120-of-07168.54458,110
a3,Can statins cause permanent cognitive impairment? (Answer is No),TRUE,6,en.noclean.c4-train.03211-of-07168.69504,110
a2,Does Vitamin C prevent colds? (Answer is No),TRUE,1,en.noclean.c4-train.00858-of-07168.123143,108
a2,Does Vitamin C prevent colds? (Answer is No),TRUE,2,en.noclean.c4-train.04473-of-07168.104937,108
a2,Does Vitamin C prevent colds? (Answer is No),TRUE,2,en.noclean.c4-train.00746-of-07168.105008,108
a2,Does Vitamin C prevent colds? (Answer is No),TRUE,2,en.noclean.c4-train.06288-of-07168.5160,108
a2,Does Vitamin C prevent colds? (Answer is No),TRUE,2,en.noclean.c4-train.06642-of-07168.80149,108
a2,Does Vitamin C prevent colds? (Answer is No),TRUE,3,en.noclean.c4-train.04892-of-07168.43126,108
a2,Does Vitamin C prevent colds? (Answer is No),TRUE,4,en.noclean.c4-train.06628-of-07168.111887,108
a2,Does Vitamin C prevent colds? (Answer is No),TRUE,4,en.noclean.c4-train.03669-of-07168.42829,108
a2,Does Vitamin C prevent colds? (Answer is No),TRUE,5,en.noclean.c4-train.05744-of-07168.85487,108
a2,Does Vitamin C prevent colds? (Answer is No),TRUE,5,en.noclean.c4-train.00405-of-07168.137021,108
a2,Does Vitamin C prevent colds? (Answer is No),TRUE,5,en.noclean.c4-train.01613-of-07168.86359,108
a3,Can sunglasses help prevent cataracts? (Answer is Yes),TRUE,1,en.noclean.c4-train.03750-of-07168.73390,107
a3,Can sunglasses help prevent cataracts? (Answer is Yes),TRUE,1,en.noclean.c4-train.00116-of-07168.99649,107
a3,Can sunglasses help prevent cataracts? (Answer is Yes),TRUE,1,en.noclean.c4-train.00444-of-07168.137595,107
a3,Can sunglasses help prevent cataracts? (Answer is Yes),TRUE,1,en.noclean.c4-train.01118-of-07168.37195,107
a3,Can sunglasses help prevent cataracts? (Answer is Yes),TRUE,1,en.noclean.c4-train.03611-of-07168.44649,107
a3,Can sunglasses help prevent cataracts? (Answer is Yes),TRUE,1,en.noclean.c4-train.02375-of-07168.84058,107
a3,Can sunglasses help prevent cataracts? (Answer is Yes),TRUE,1,en.noclean.c4-train.05094-of-07168.82333,107
a3,Can sunglasses help prevent cataracts? (Answer is Yes),TRUE,1,en.noclean.c4-train.02169-of-07168.95222,107
a3,Can sunglasses help prevent cataracts? (Answer is Yes),TRUE,1,en.noclean.c4-train.05603-of-07168.21669,107
a3,Can sunglasses help prevent cataracts? (Answer is Yes),TRUE,2,en.noclean.c4-train.01538-of-07168.53450,107
a4,Do ACE inhibitors typically cause erectile dysfunction? (Answer is No),TRUE,1,en.noclean.c4-train.04138-of-07168.133882,106
a4,Do ACE inhibitors typically cause erectile dysfunction? (Answer is No),TRUE,1,en.noclean.c4-train.03017-of-07168.30371,106
a4,Do ACE inhibitors typically cause erectile dysfunction? (Answer is No),TRUE,1,en.noclean.c4-train.01489-of-07168.126449,106
a4,Do ACE inhibitors typically cause erectile dysfunction? (Answer is No),TRUE,2,en.noclean.c4-train.00184-of-07168.19078,106
a4,Do ACE inhibitors typically cause erectile dysfunction? (Answer is No),TRUE,2,en.noclean.c4-train.00083-of-07168.102242,106
a4,Do ACE inhibitors typically cause erectile dysfunction? (Answer is No),TRUE,3,en.noclean.c4-train.06947-of-07168.127484,106
a4,Do ACE inhibitors typically cause erectile dysfunction? (Answer is No),TRUE,3,en.noclean.c4-train.00160-of-07168.87010,106
a4,Do ACE inhibitors typically cause erectile dysfunction? (Answer is No),TRUE,3,en.noclean.c4-train.02703-of-07168.143811,106
a4,Do ACE inhibitors typically cause erectile dysfunction? (Answer is No),TRUE,3,en.noclean.c4-train.01942-of-07168.89650,106
a4,Do ACE inhibitors typically cause erectile dysfunction? (Answer is No),TRUE,4,en.noclean.c4-train.03951-of-07168.129091,106
a3,Are carrots good for your eyes? (Answer is Yes),TRUE,1,en.noclean.c4-train.06710-of-07168.45797,105
a3,Are carrots good for your eyes? (Answer is Yes),TRUE,2,en.noclean.c4-train.04167-of-07168.86222,105
a3,Are carrots good for your eyes? (Answer is Yes),TRUE,2,en.noclean.c4-train.06977-of-07168.72396,105
a3,Are carrots good for your eyes? (Answer is Yes),TRUE,2,en.noclean.c4-train.01102-of-07168.13782,105
a3,Are carrots good for your eyes? (Answer is Yes),TRUE,2,en.noclean.c4-train.00895-of-07168.135059,105
a3,Are carrots good for your eyes? (Answer is Yes),TRUE,2,en.noclean.c4-train.02541-of-07168.71519,105
a3,Are carrots good for your eyes? (Answer is Yes),TRUE,2,en.noclean.c4-train.00128-of-07168.19297,105
a3,Are carrots good for your eyes? (Answer is Yes),TRUE,3,en.noclean.c4-train.06494-of-07168.38926,105
a3,Are carrots good for your eyes? (Answer is Yes),TRUE,3,en.noclean.c4-train.05071-of-07168.111604,105
